Symbol,Company,Yield Percentage,Next Ex-div Date
SPHD,Invesco S&P 500 High Dividend Low Volatility,4.51%,2020-02-24
IRM,Iron Mountain Incorporated,7.506%,2020-03-13
SJM,J.M. Smucker,3.267%,2020-02-13
JPM,JPMorgan Chase & Co.,2.851%,2020-01-03
JNJ,Johnson & Johnson,2.627%,2020-02-24
JCI,Johnson Controls,2.636%,2019-12-13
JLL,Jones Lang LaSalle Incorporated,0.587%,2019-11-14
KAR,KAR Auction Services,3.693%,2020-03-19
KKR,KKR & Co LP (DE),1.656%,2020-02-07
KAI,Kadant,0.982%,2020-01-08
KSU,Kansas City Southern,0.991%,2020-03-06
K,Kellogg,3.597%,2020-03-02
KMT,Kennametal,2.737%,2020-02-10
KW,Kennedy-Wilson Holdings,4.145%,2019-12-26
KDP,Keurig Dr Pepper,2.075%,2020-04-02
KEY,KeyCorp,4.102%,2020-03-02
KMB,Kimberly-Clark,3.08%,2020-03-05
KIM,Kimco Realty,6.028%,2020-04-01
KMI,Kinder Morgan,4.751%,2020-01-31
KL,Kirkland Lake Gold Ltd.,1.357%,2020-03-30
KSS,Kohls,6.521%,2019-12-10
PHG,Koninklijke Philips Electronics N.V. (ADR),2.128%,2020-05-05
KTB,Kontoor Brands Inc.,6.308%,2020-03-09
KR,Kroger,2.157%,2020-02-13
KRO,Kronos Worldwide,6.95%,2020-03-02
LB,L Brands,5.268%,2020-02-20
LHX,L3Harris Technologies Inc.,1.426%,2019-11-21
LTC,LTC Properties,4.624%,2020-03-20
LZB,La-Z-Boy Incorporated,1.859%,2019-11-29
LVS,Las Vegas Sands,5.253%,2020-03-17
LAZ,Lazard LTD. LTD. Class A,4.942%,2020-02-14
LEA,Lear Corporation,2.768%,2020-02-27
LM,Legg Mason,3.197%,2020-03-18
LEG,Leggett & Platt,3.853%,2020-03-12
LII,Lennox International,1.264%,2019-12-30
LXP,Lexington Realty Trust,3.668%,2019-12-30
USA,Liberty All-Star Equity Fund,10.44%,2020-01-23
LSI,Life Self Storage,3.753%,2020-01-13
LNC,Lincoln National Corporation,3.071%,2020-04-09
LIN,Linde plc,1.894%,2020-03-05
LNN,Lindsay Corporation,1.188%,2020-02-13
LAD,Lithia Motors,0.946%,2020-03-12
LMT,Lockheed Martin,2.398%,2020-02-28
LOW,Lowes Companies,1.856%,2020-01-21
LYB,LyondellBasell Industries NV,5.57%,2020-02-28
MDU,MDU Resources Group,2.712%,2020-03-11
MFA,MFA Financial,10.554%,2019-12-27
MGP,MGM Growth Properties LLC Class A representin,5.918%,2019-12-30
MGM,MGM Resorts International,2.151%,2020-03-09
MPLX,MPLX LP Representing Limited Partner Interests,12.959%,2020-02-03
MSA,MSA Safety Incorporated,1.343%,2020-02-11
MSM,MSC Industrial Direct Company,4.57%,2020-01-21
MAC,Macerich,13.556%,2020-02-20
CLI,Mack-Cali Realty,3.914%,2020-01-02
MIC,Macquarie Infrastructure Company,9.874%,2020-03-05
M,Macys,10.342%,2019-12-12
MMP,Magellan Midstream Partners L.P. Limited Part,7.111%,2020-02-06
MGA,Magna International,3.394%,2020-03-05
MAIN,Main Street Capital,6.268%,2020-02-19
MAN,ManpowerGroup,2.661%,2019-11-29
MRO,Marathon Oil,2.242%,2020-02-18
MPC,Marathon Petroleum Corporation,4.367%,2020-02-18
MMC,Marsh & McLennan Companies,1.638%,2020-01-28
MA,Mastercard,0.528%,2020-04-08
MTRN,Materion Corporation,0.929%,2020-02-18
MAXR,Maxar Technologies Ltd.,0.258%,2020-03-12
MKC,McCormick & Company,1.62%,2019-12-30
MCD,McDonalds,2.357%,2020-02-28
MCK,McKesson Corporation,1.02%,2020-02-28
MPW,Medical Properties Trust,4.647%,2020-03-11
MDT,Medtronic,2.035%,2019-12-26
MRK,Merck & Co.,3.04%,2020-03-13
MCY,Mercury General,5.209%,2020-03-16
MDP,Meredith,8.546%,2020-02-27
MET,MetLife,3.699%,2020-02-03
MAA,Mid-America Apartment Communities,2.811%,2020-01-14
MLR,Miller Industries,2.405%,2019-12-06
TAP,Molson Coors Brewing,4.434%,2020-03-06
MCO,Moodys,0.861%,2020-02-24
MS,Morgan Stanley,2.915%,2020-01-30
MOS,Mosaic Company,1.105%,2020-03-04
MSI,Motorola Solutions,1.437%,2020-03-12
MOV,Movado Group,5.416%,2019-12-05
MYE,Myers Industries,3.742%,2019-12-05
NC,NACCO Industries,1.726%,2020-02-27
NKE,NIKE,1.055%,2020-02-28
NWN,NW Natural Holdings,2.564%,2020-01-30
NFG,National Fuel Gas Company,4.364%,2019-12-30
NGG,National Grid PLC ADS,3.222%,2019-11-27
NHI,National Health Investors,4.969%,2020-03-30
NHC,National HealthCare Corporation,2.707%,2020-03-30
NOV,National Oilwell Varco,0.989%,2019-12-05
NNN,National Retail Properties,3.605%,2020-01-30
NP,Neenah Paper,3.033%,2020-02-13
NJR,New Jersey Resources,3.083%,2020-03-16
NMFC,New Mountain Finance,9.985%,2019-12-12
NRZ,New Residential Investment,11.983%,2019-12-30
SNR,New Senior Investment Group Inc.,6.753%,2019-12-05
NEU,NewMarket,1.879%,2019-12-13
NEM,Newmont Mining,1.14%,2020-03-04
NEE,NextEra Energy,2.072%,2020-02-27
NI,NiSource,2.96%,2020-02-10
NLSN,Nielsen N.V.,1.175%,2020-03-04
NOK,Nokia (ADR),1.433%,2019-07-29
JWN,Nordstrom,4.022%,2019-11-27
NSC,Norfolk Southern,1.93%,2020-02-06
NWE,NorthWestern,3.10%,2020-03-12
NOC,Northrop Grumman,1.553%,2020-02-21
NVS,Novartis AG ADS,3.459%,2020-03-03
NVO,Novo Nordisk A/S,2.577%,2020-03-27
NUS,Nu Skin Enterprises,5.648%,2020-02-27
NS,NuStar Energy,9.844%,2020-02-07
NUE,Nucor,3.58%,2020-03-30
OGE,OGE Energy,3.535%,2020-01-09
OKE,ONEOK,5.081%,2020-01-24
OUT,OUTFRONT Media Inc.,4.998%,2019-12-05
OXY,Occidental Petroleum,8.732%,2020-03-09
ODC,Oil-Dri Corporation Of America,2.954%,2020-02-13
ORI,Old Republic International,3.676%,2019-12-05
OLN,Olin,4.497%,2020-02-07
